question,prediction,ground_truth,Expert_Annotation1,Expert_Annotation2,Final_Decision
In the conditional thread example what guard enables the rightmost branch,The retrieved segments do not provide explicit information about the guard enabling the rightmost branch in the conditional thread example.,frequent flyer member,0,0,0
In the events slide what term is used for an object sent asynchronously between objects,Signals,Signal,1,1,1
When time passes what is the UML term for that kind of event,Passage of time.,Passage of time,1,1,1
At 175Ð176s what main slide topic is shown,Domain and software process modeling using Activity Diagrams.,Software Modeling,1,1,1
At 335Ð336s what red title appears above the gallery of relationships,"""REVIEW OF UML RELATIONSHIPS""",REVIEW OF UML RELATIONSHIPS,1,1,1
At 544Ð547s what red title introduces signals and calls,"""EVENTS IN UML""",EVENTS IN UML,1,1,1
At 1153Ð1233s what is the big slide header defining the diagram type being discussed,UML Activity Diagrams,UML Activity Diagrams,1,1,1
At 1233Ð1246s what is the label inside the rounded activity boundary of the example diagram,"""Process Order""",Process Order,1,1,1
At 1533Ð1877s which call action name is shown in the left flow before the final node,"""Confirm Order""",Confirm Order,1,1,1
At 2388Ð2516s what is the slide title explaining parallelization bars,"""FORK AND JOIN NODES""",FORK AND JOIN NODES,1,1,1
At 2667Ð2742s which type of final node stops all flows in the activity,Activity Final Node,Activity final node,1,1,1
At 2998Ð3016s what is the title inside the activity frame showing the ticket workflow,"""Resolve Issue""",Resolve Issue,1,1,1
At 3019Ð3135s what red title appears next to the two hand drawn labels step and activity,"""PARTITION""",ACTIVITY,0,0,0
At 3136Ð3199s how many swimlanes are shown in the object flow partition example,"Three swimlanes are shown: ""Customer,"" ""Sales,"" and ""Warehouse.""",Three,1,1,1
At 3199Ð3326s what role name labels the rightmost swimlane,"""Warehouse""",Warehouse,1,1,1
At 3536Ð3555s what state does the bill object have after payment,The bill object has the state **[paid]** after payment.,paid,1,1,1
At 3794Ð3796s what slide topic introduces a dashed region around actions,"""INTERRUPTIBLE ACTIVITY REGION""",INTERRUPTIBLE ACTIVITY REGION,1,1,1
At 3902Ð3909s which two interrupts can break the Enter Pin step in the ATM example,"The two interrupts that can break the Enter Pin step in the ATM example are:

1. **Cancel Button**  
2. **45 sec timeout**",Cancel Button and 45sec timeout,1,1,1
What does an activity final node do,An activity final node stops all flows in an activity.,Stops all flows in the activity,1,1,1
What does a flow final node do,A flow final node terminates a single flow in a UML activity diagram. It does not stop the entire activity but ends the specific flow reaching it.,Terminates a single flow,1,1,1
What do fork and join bars indicate in an activity diagram,"Fork and join bars in an activity diagram indicate the start and end of concurrent threads of control. A fork bar splits control into multiple concurrent actions, while a join bar synchronizes multiple inflows into a single outflow. The outflow from a join cannot execute until all inflows have been received.",Start and synchronization of concurrent threads,1,1,1
What does a merge node do after mutually exclusive branches,A merge node recombines mutually exclusive branches into a single flow after one of the branches completes.,Recombines mutually exclusive branches,1,1,1
What UML symbol denotes the start of control flow,A filled black circle (solid ellipse) denotes the start of control flow in UML activity diagrams.,Filled black circle,1,1,1
What UML symbol denotes the end of control flow for the whole activity,"A UML symbol that denotes the end of control flow for the whole activity is the **Activity Final Node**, represented as a bullseye (a black filled circle inside a thin outer ring).",Bullseye double circle,1,1,1
What shape is used for decision and merge nodes,Diamond shape.,Diamond,1,1,1
What shape is used for actions,Actions are represented as rounded rectangles.,Rounded rectangle,1,1,1
In an activity diagram what encloses parameters and actions for a named activity,A round-cornered rectangle encloses parameters and actions for a named activity.,A rounded rectangle labeled with the activity name,1,1,1
In the Authenticate User example which two inputs feed the first action,"""Login Id"" and ""Password"".",Login Id and Password,1,1,1
In the order process who receives the filled order before paying the bill,The **Customer** receives the filled order before paying the bill.,Customer,1,1,1
In the order process which action generates the unpaid bill,"The action ""Bill customer"" generates the unpaid bill.",Bill customer,1,1,1
In the order process which action updates the bill to paid,"The action ""Pay bill"" updates the bill to ""paid"".",Pay bill,1,1,1
In the order process which two flows must converge before Close Order,"The two flows that must converge before ""Close Order"" are:

1. The flow from ""Ship Order.""
2. The flow from ""Pay Bill.""",Receive order and Bill paid,1,1,1
In the customerÐstore signal example which lane receives the Order signal,The **Online Book Store** lane receives the Order signal.,Online Book Store,1,1,1
In the customerÐstore signal example what periodic trigger icon fires Every hour,"The periodic trigger icon labeled ""Every hour"" is represented by an hourglass symbol.",Hourglass,1,1,1
In the ATM example what happens if the user presses the cancel button while entering the PIN,"If the user presses the cancel button while entering the PIN, the flow is interrupted and redirected to the ""Confirm Cancel"" action.",Confirm Cancel,1,1,1
In the ATM example what happens if 45 seconds elapse while entering the PIN,"If 45 seconds elapse while entering the PIN, the flow is interrupted, and the system displays the message ""Timeout Elapsed.""",Display Timeout Elapsed,1,1,1
What is the key difference between synchronous and asynchronous communication in the lecture,"Synchronous communication requires the sender and receiver to be actively engaged in the communication at the same time, ensuring immediate acknowledgment and reliability. In contrast, asynchronous communication allows the sender to continue without waiting for the receiver's acknowledgment, enabling greater efficiency and parallelism but with less reliability.",Synchronous waits for a response while asynchronous does not,1,1,1
What are the two main things the lecturer says we care most about for behavior and concurrency,Behavior and concurrency.,Capturing behavior and concurrency,1,1,1
What do structural models describe about things according to the lecture,"Structural models describe the static architecture of a system, modeling the ""things"" that make up a system, such as classes, objects, interfaces, and physical components. They also model the relationships and dependencies between these elements.",Static structure of things and how they are related,1,1,1
What must be true before the outflow of a join can proceed,"Before the outflow of a join can proceed, all incoming flows to the join must be completed.",All incoming branches must complete,1,1,1
Which four kinds of events are listed on the EVENTS IN UML slide,"1. Signals: Object sent asynchronously by one object and received by another.  
2. Calls: Method calls between objects, typically synchronous.  
3. Passage of time.  
4. Change in state.",Signals calls passage of time change in state,1,1,1
Which two categories classify events as external or internal on the EVENTS IN UML slide,"- **External events**: Interactions between the system and its actors, such as pressing a button on a graphical user interface (GUI).
- **Internal events**: Events occurring within the system, such as input/output (IO) exceptions.",External events and internal events,1,1,1
What is the purpose of a partition or swimlane in an activity diagram,"The purpose of a partition or swimlane in an activity diagram is to group actions or activities based on a shared characteristic, such as responsibility, role, or department, to clarify who performs each action or which system component is responsible for specific tasks.",To group actions by actor or responsibility,1,1,1
How are object states shown next to an object name in an object node,"Object states are shown next to an object name in an object node by placing the state in square brackets below the object's name. For example, in the object node labeled ""Order [in progress],"" ""Order"" is the object name, and ""[in progress]"" is the state.",In square brackets after the object name,1,1,1
Which slide advises to add object flows when a workflow triggers significant object behavior,"Slide titled **""HOW TO CONSTRUCT ACTIVITY DIAGRAMS""** (timestamps: 4024s-4025s, 4025s-4029s, 4029s-4030s, 4030s-4031s).",HOW TO CONSTRUCT ACTIVITY DIAGRAMS,1,1,1
Which step comes immediately after Receive Order in the order process upper branch,Fill Order,Check PIN,0,0,0
Which two activities run in parallel after Fill Order in the order process,"""Send Invoice"" and ""Ship Order"" run in parallel after ""Fill Order"" in the order process.",Send Invoice and Ship Order,1,1,1
