question,gt
How are synchronous vs asynchronous communication modeled on transitions according to the lecture?,synchronous as operation calls; asynchronous as sending signals or messages
"What is the purpose of a history state in a compound state, as explained with the washing machine?",to resume the last active sub-state on reentry instead of restarting from the initial sub-state
What UML pseudostate is used to remember and resume the last active substate inside a composite state?,The history pseudostate “H”.
"In the washing-machine example, which two events move the system from “Running” to “Powered Off” and back into “Running”?",“power cut” to leave Running; “restore power” to re-enter via history.
"In a compound state, what does a dashed horizontal line indicate?",Concurrent (orthogonal) regions inside the composite state.
"In the “Applying Brakes” example, what are the names of the two concurrent regions?",“Applying Front Brakes” and “Applying Rear Brakes”.
"In the lecture’s terminology, what is the key difference between an OR state and an AND state?",OR = only one substate active (sequential); AND = multiple regions active concurrently (cross product of states).
"When two regions each have states {A,B} and {C,D}, what four combined global states are possible under concurrency?","(A&C), (A&D), (B&C), (B&D)."
"In the Maintenance example, which event from Idle forks into the two regions?",maintain.
Which event from Idle goes directly to the final (termination) state?,shutDown.
"In the upper “Testing” region, which two states and completion events are shown?",“Testing devices” _(testingCompleted)_ “Self diagnosing” _(diagnosisCompleted)_ join.
"In the lower “Commanding” region, which guard causes a loop back to Waiting after Processing Command?",commandProcessed [continue].
"In that lower region, which guarded transition exits to the join bar?",commandProcessed [not continue].
"In the CD player “On” composite, what are the two display states in the top region?",Displaying Current Time; Displaying Alarm Time.
What timer duration appears on the transition back to “Displaying Current Time”?,3 seconds (“Timer (3 s)”).
"In the bottom (audio) region of “On,” what are the two playback states?",Playing Radio; Playing CD.
"In the CD player example, the history pseudostate applies to which region?",The lower audio region only.
"In that example, what events toggle between Off and On at the outer level?","On (off _ On), and Off (On _ off)."
"When re-entering “On” from Off via history, what is the default target in the audio region?",Playing Radio.
"In the refined motor model, what guard functions appear to indicate functioning vs. not functioning?",[isFunctioning()] and [!isFunctioning()].
Name the five substates inside the motor’s “Running” composite.,"Open, Closing, Closed, Opening, HalfOpen."
Which event and guard move the motor from Open to Closing?,buttonPressed() [isFunctioning()].
Which event moves the motor from Closing to Closed?,doorClosed().
Which alternative triggers (with guard) move the motor from Closing to Opening?,buttonPressed() [isFunctioning()] or obstacleDetected() [isFunctioning()].
Which event moves the motor from Opening back to Open?,doorOpen().
Which state toggles with buttonPressed() between itself and Opening?,HalfOpen.
What external state represents the malfunction/repair mode?,WaitingForRepair.
"What are the three transitions involving “WaitingForRepair” (enter, self-loop, return)?",Enter: buttonPressed() [!isFunctioning()]; self-loop: timer() [!isFunctioning()]; return: timer() [isFunctioning()].
What is the sensor unit’s polling period?,20 ms.
Which three conditions does the sensor unit check every cycle?,"Obstacle detected, door open, door closed."
"In the Garage Door use case diagram, which two use cases include “Run Diagnosis”?",Open Door and Close Door.
"In the “Run Diagnosis” use case, what is the pre-condition?",User has pressed the remote or wall-mounted control button.
"In that use case, what happens if a check fails?",Wait 3 minutes and retry the checks.
"In the “Open Door” use case, what happens if the door is currently opening?","Stop the door, leaving it half open."
"In the “Close Door” use case, what happens if the door is currently opening?","Stop the door, leaving it half open."
What modeling/tooling platform developed at uOttawa is introduced for model-oriented programming?,Umple (UMPLE).
Which MathWorks tool (and feature) is mentioned as equivalent in spirit to UML state machines?,MATLAB Simulink with Stateflow.
