question,prediction(model's answer),ground_truth(correct answer),Expert_Annotation1,Expert_Annotation 2,Final_Decision
"In the ÒTelephone CatalogÓ use case diagram, list one use case inside the system boundary.","The video descriptions do not mention the ""Telephone Catalog"" use case diagram or any specific use case inside the system boundary.","Check status (or place order, or fill orders, or establish credit).",0,0,0
"In the ÒUSE CASE RELATIONSHIPSÓ include example, which repeated sub-function is included by both Deposit Funds and Withdraw Cash?",The video descriptions do not provide information about use case relationships or sub-functions.,Customer Authentication.,0,0,0
"In the extend example, which use case extends Book Flight?",The video does not provide information about use cases or extensions.,Upgrade Seat.,0,0,0
"In the use case generalization trio, what sits as the parent above Check Password and Fingerprint Scan?",Not mentioned in the provided frames.,Verify Identity.,0,0,0
"In the ÒSales Order SystemÓ diagram, which use case is marked as the base use case?",Not mentioned,Place Order.,0,0,0
"In that same diagram, which three use cases does Place Order include?",The video descriptions do not provide information about use cases or diagrams.,"Supply Customer Data, Order Product, Arrange Payment.",0,0,0
"In the ÒSales Order SystemÓ diagram, which two child use cases specialize Arrange Payment?","The video does not provide information about the ""Sales Order System"" diagram or its child use cases.",Pay Cash and Arrange Credit.,0,0,0
"In the ATM use case diagram, which single use case is included by Withdraw Funds, Query Account, and Transfer Funds?",Authenticate User,Validate PIN.,0,0,0
"In ÒValidate PIN (2)Ó, what does the system check after the customer enters a PIN and the card is valid?",The system checks domain analysis and requirements.,It checks whether the entered PIN matches the stored card PIN.,0,0,0
"In ÒValidate PIN (3)Ó, what happens if the card is not recognized?",The provided descriptions do not mention anything about validating a PIN or card recognition.,The system ejects the card.,0,0,0
"In ÒValidate PIN (3)Ó, what happens after three incorrect PIN attempts?",The video descriptions do not mention anything about PIN validation or incorrect attempts.,The system confiscates the card.,0,0,0
"In ÒWithdraw Funds (2)Ó, what does the system do immediately after authorizing dispensing of cash?","The video descriptions do not provide information about ""Withdraw Funds (2)"" or related actions.",Dispenses cash (then prints receipt).,0,0,0
"In ÒWithdraw Funds (3)Ó, what happens if the ATM is out of funds?",The video descriptions do not mention anything about withdrawing funds or ATM functionality.,"The system apologizes, ejects the card, and shuts down.",0,0,0
"During 0Ð1s, what large label identifies the right-hand grouped box in the infrastructure sketch?",Not provided in the descriptions.,ECS cluster.,0,0,0
"During 14Ð22s, what section title is shown in red text?",what is shown in this image? answer briefly.s com,SECTION 2 Ñ Domain Analysis and Requirements Modeling.,0,0,0
"At 347Ð499s, which course code appears on the ÒDOMAIN ANALYSISÓ slide?",No course code is visible.,SEG2106.,0,0,0
"At 850Ð1345s, which association name links EducationalInstitution to Student?",No association name is mentioned.,enrolledAt.,0,0,0
"At 1372Ð1505s, what class sits directly above both DebitCard and CreditCard?",PaymentMethod,FinancialCard.,0,0,0
"At 1707Ð1787s, which right-hand class aggregates or composes Departments?",No information available.,Hospital.,0,0,0
"At 1788Ð1789s, name one relationship diamond visible between core entities.",No relationship diamond is visible.,Has (between Account and User) or Performs Transaction (between User and ATM).,0,0,0
"At 2576Ð2579s, what definition is given for an actor in the use case view?",An actor is defined as an entity that interacts with the system in the use case view.,A party outside the system (user or external system) that interacts with it.,1,1,1
"At 3056Ð3081s, what relationship type is illustrated with a parent use case and two children implying an either/or execution?",Extend relationship,Generalization (use case specialization).,0,0,0
"At 3770Ð3801s, list two non-functional attributes named on the slide.",Reliability and Scalability,"Any two of: security, reliability, maintainability, scalability, usability.",1,1,1
"According to the ÒValidate PINÓ main sequence (23Ð24 of 34), what is step 1?",Step 1 is not explicitly visible in the provided frames.,Customer inserts the ATM card into the card reader.,0,0,0
"According to the same main sequence, what does the system do in step 2 if the card is recognized?",The video does not provide information about card recognition or system steps.,It reads the card number.,0,0,0
"In the ÒValidate PINÓ main sequence, what does the system do after PIN numbers match?","The provided descriptions do not mention a ""Validate PIN"" sequence or any related system behavior.",The system checks what accounts are accessible with the ATM card.,0,0,0
"In the ÒValidate PINÓ alternative sequence, what happens if the card date has expired?","The video descriptions do not mention the ""Validate PIN"" sequence or expired card dates.",The system confiscates the card.,0,0,0
"In the ÒValidate PINÓ alternative sequence, what happens if the customer presses Cancel between steps 4Ð8?","The video does not provide information about the ""Validate PIN"" sequence or customer actions like pressing Cancel.",The system cancels the transaction and ejects the card.,0,0,0
"In the ÒWithdraw FundsÓ main sequence, what is checked in step 3 before authorizing cash?","The video does not provide information about the ""Withdraw Funds"" sequence or step 3.",Sufficient funds and daily limit not exceeded.,0,0,0
"In the ÒWithdraw FundsÓ main sequence, what is printed in step 6 besides the transaction number?","The video descriptions do not mention a ""Withdraw Funds"" sequence or step 6.","Transaction type, amount withdrawn, and account balance (any of these details beyond number).",0,0,0
"In the ÒWithdraw FundsÓ alternative sequence, what happens if the daily withdrawal limit is exceeded?","The video does not provide information about the ""Withdraw Funds"" sequence or daily withdrawal limits.",The system apologizes and ejects the card.,0,0,0
"In the ÒWithdraw FundsÓ alternative sequence, what happens if the account number is invalid?","The video does not provide information about the ""Withdraw Funds"" sequence or invalid account numbers.",The system displays an error and ejects the card.,0,0,0
"In the ÒWithdraw FundsÓ alternative sequence, what three-part action happens if the ATM is out of funds?","The video does not provide information about the ""Withdraw Funds"" sequence or actions related to an ATM being out of funds.","The system apologizes, ejects the card, and shuts down.",0,0,0
Summarize the purpose of domain analysis in one sentence.,Domain analysis helps identify and understand requirements for software design.,"To determine the domainÕs concepts, stakeholders, constraints, and language so feasibility and scope can be judged.",1,0,1
Summarize how domain models and behavioral models relate in this lecture.,"The lecture primarily focuses on domain analysis and requirements, with a mention of transitioning to activity diagrams in the next session to explore more formal aspects of software design.",Domain models define structure; behavioral models show how those relationships change over time (how the system behaves).,0,0,0
State why multiplicities on associations are important in domain models.,"Multiplicities on associations define the number of instances involved in a relationship, ensuring clarity in domain models.",They constrain the number of participating entities and clarify cardinality for correctness.,1,0,1
"Explain the difference between association, aggregation, and composition as presented.","The video does not provide any explanation or discussion on association, aggregation, or composition.",Association = generic link; aggregation = whole-part (looser); composition = whole-part with strong lifetime dependency.,0,0,0
"In one sentence, explain the role of include versus extend between use cases.",The video does not provide information on include versus extend between use cases.,Include extracts mandatory shared behavior; extend conditionally adds optional behavior to a base use case.,0,0,0
Give the template for user stories used in agile per the lecture.,The template for user stories used in agile was not mentioned in the lecture.,"As a <type of user>, I want <some goal> so that <some reason>.",0,0,0
Describe what an epic story is and how it is handled.,The video does not discuss epic stories or how they are handled.,"A large, high-level story that spans more than one iteration and must be decomposed into smaller user stories.",0,0,0
Provide two examples of non-functional requirements mentioned.,No visible examples of non-functional requirements are mentioned.,"Security (e.g., encrypt card numbers and PINs), performance (respond within 5 seconds), reliability, scalability, usability.",0,0,0
State the main purpose of a Software Requirements Specification in this lecture.,To define domain analysis and requirements for software design.,To integrate functional and non-functional requirements (plus domain analysis) into a signed-off contract and basis for estimates.,0,0,0
"According to the estimation precision slide, why are early cost/schedule estimates highly uncertain?",The video descriptions do not mention an estimation precision slide or reasons for early cost/schedule estimate uncertainty.,"Because at feasibility/requirements stages estimation error can be off by up to ~4x, improving only as the project advances.",0,0,0
